axis,estimator,axis_min,axis_max,corr_axis_abs_error,corr_axis_ess_norm,mean_abs_error_at_axis_min,mean_abs_error_at_axis_max,median_abs_error_at_axis_min,median_abs_error_at_axis_max,mean_ess_norm_at_axis_min,mean_ess_norm_at_axis_max,median_ess_norm_at_axis_min,median_ess_norm_at_axis_max,n_pairs,mean_delta_abs_error_low_to_high,mean_delta_ess_norm_low_to_high,frac_error_increases_low_to_high,frac_ess_increases_low_to_high
reward_std,fqe_tabular,0.1,0.5,0.2716285705606696,-4.481499611034757e-19,0.09034813243874656,0.1469313503840201,0.0721996738756005,0.116060019928034,0.5408601520227462,0.5408601520227462,0.5954577598160529,0.5954577598160529,32,0.056583217945273545,0.0,0.96875,0.0
reward_std,is_pdis,0.1,0.5,0.13914854555977205,-4.481499611034757e-19,0.13003817606177223,0.17327352895769074,0.08796896120461106,0.1242425091369889,0.5408601520227462,0.5408601520227462,0.5954577598160529,0.5954577598160529,32,0.04323535289591852,0.0,1.0,0.0
reward_std,is_trajectory,0.1,0.5,0.18145727731171576,-4.481499611034757e-19,0.13923039970032774,0.2039319554697907,0.0975979486151186,0.1521645508378873,0.5408601520227462,0.5408601520227462,0.5954577598160529,0.5954577598160529,32,0.06470155576946299,0.0,1.0,0.0
reward_std,mrdr,0.1,0.5,0.18433453935471977,-4.481499611034757e-19,0.12603458496824063,0.17647868393047084,0.09695013648252593,0.12231710578596114,0.5408601520227462,0.5408601520227462,0.5954577598160529,0.5954577598160529,32,0.05044409896223021,0.0,0.96875,0.0
reward_std,wis_pdis,0.1,0.5,0.16913776962487234,-4.481499611034757e-19,0.12433987025720332,0.1699508712452319,0.09180252612290446,0.12678044107319386,0.5408601520227462,0.5408601520227462,0.5954577598160529,0.5954577598160529,32,0.04561100098802857,0.0,1.0,0.0
reward_std,wis_trajectory,0.1,0.5,0.21636601125188706,-4.481499611034757e-19,0.13480473390009415,0.19890708417813197,0.10078130077209971,0.155770545185089,0.5408601520227462,0.5408601520227462,0.5954577598160529,0.5954577598160529,32,0.06410235027803782,0.0,1.0,0.0
transition_strength,dm_tabular,0.3,0.8,-0.0018357135745725817,-0.003774645081941405,0.12349217298663137,0.12309013136739418,0.09505041901582698,0.09314385168760217,0.5420016444787886,0.5397186595667037,0.5821632936622361,0.5954577598160529,32,-0.0004020416192372057,-0.0022829849120848573,0.21875,0.0
transition_strength,dr,0.3,0.8,-0.0436098702400126,-0.003774645081941405,0.1652540501367736,0.15161435478044843,0.11422707135469572,0.10648218859733494,0.5420016444787886,0.5397186595667037,0.5821632936622361,0.5954577598160529,32,-0.013639695356325157,-0.0022829849120848573,0.125,0.0
transition_strength,dr_oracle,0.3,0.8,-0.02414061384200961,-0.003774645081941405,0.13495620233807482,0.1287523231863431,0.09439633559503803,0.09341873176144724,0.5420016444787886,0.5397186595667037,0.5821632936622361,0.5954577598160529,32,-0.006203879151731704,-0.0022829849120848573,0.15625,0.0
transition_strength,fqe_linear,0.3,0.8,-0.03309231875242308,-0.003774645081941405,0.12132334149203275,0.1145091075928839,0.09438998442757736,0.08528611481091922,0.5420016444787886,0.5397186595667037,0.5821632936622361,0.5954577598160529,32,-0.0068142338991488485,-0.0022829849120848573,0.09375,0.0
transition_strength,fqe_tabular,0.3,0.8,-0.0023963923067820215,-0.003774645081941405,0.11888933884492492,0.11839014397784176,0.0924366827842,0.08752693660240404,0.5420016444787886,0.5397186595667037,0.5821632936622361,0.5954577598160529,32,-0.0004991948670831641,-0.0022829849120848573,0.21875,0.0
transition_strength,is_pdis,0.3,0.8,-0.04098790569435186,-0.003774645081941405,0.15802360346261046,0.14528810155685248,0.10669529729070311,0.10043518072162944,0.5420016444787886,0.5397186595667037,0.5821632936622361,0.5954577598160529,32,-0.012735501905758,-0.0022829849120848573,0.15625,0.0
transition_strength,is_trajectory,0.3,0.8,-0.05183440130553393,-0.003774645081941405,0.18082237875519877,0.16233997641491968,0.1334823154366807,0.12098638590562334,0.5420016444787886,0.5397186595667037,0.5821632936622361,0.5954577598160529,32,-0.018482402340279085,-0.0022829849120848573,0.0625,0.0
transition_strength,mrdr,0.3,0.8,-0.03586435626543573,-0.003774645081941405,0.1561638676325763,0.14634940126613516,0.10977990767382452,0.10341984804689476,0.5420016444787886,0.5397186595667037,0.5821632936622361,0.5954577598160529,32,-0.009814466366441153,-0.0022829849120848573,0.15625,0.0
transition_strength,wis_pdis,0.3,0.8,-0.04008311147100965,-0.003774645081941405,0.1525499318996893,0.1417408096027459,0.10971320087450367,0.1017129961186935,0.5420016444787886,0.5397186595667037,0.5821632936622361,0.5954577598160529,32,-0.010809122296943379,-0.0022829849120848573,0.09375,0.0
transition_strength,wis_trajectory,0.3,0.8,-0.044455039091971904,-0.003774645081941405,0.17344121435349524,0.1602706037247309,0.13707403412580177,0.12685665652212724,0.5420016444787886,0.5397186595667037,0.5821632936622361,0.5954577598160529,32,-0.013170610628764326,-0.0022829849120848573,0.0625,0.0
