env_name,env_id,dataset_seed,policy_seed,seed,alpha,beta,K,chain_variant,transition_strength,reward_mean_scale,reward_gap,reward_std,v_true,ess_is,ess_is_over_k,estimate,error,abs_error,squared_error,ci_low,ci_high,ci_width,covered,ess_norm,estimator_key,estimator,ci_method
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.000_seed4128479723,1748603305,2613614962,0,0.2,0.0,100,reward_only,0.3,0.7,0.3,0.5,-0.020025334776686915,85.38021710837158,0.8538021710837158,0.04494882616056853,0.06497416093725544,0.06497416093725544,0.004221641589500371,,,,,0.8538021710837158,dm_tabular,DM,analytic
chain_bandit,chain_bandit_transitional_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.000_seed4128479723,2070496006,2613614962,0,0.2,0.0,100,transitional,0.3,0.7,0.3,0.5,-0.014283966621160507,80.9910719747356,0.8099107197473561,-0.0458793874332348,-0.031595420812074296,0.031595420812074296,0.0009982706162920576,,,,,0.8099107197473561,dm_tabular,DM,analytic
chain_bandit,chain_bandit_transitional_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.000_seed4128479723,2825440625,2613614962,0,0.2,0.0,100,transitional,0.3,0.7,0.3,0.5,-0.014283966621160507,80.59110123003961,0.8059110123003961,0.036364458339863404,0.05064842496102391,0.05064842496102391,0.00256526295103247,,,,,0.8059110123003961,dm_tabular,DM,analytic
chain_bandit,chain_bandit_transitional_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.000_seed4128479723,3652782903,2613614962,0,0.2,0.0,100,transitional,0.3,0.7,0.3,0.5,-0.014283966621160507,82.6830654210368,0.826830654210368,-0.016251352683000736,-0.001967386061840229,0.001967386061840229,3.870607916323205e-06,,,,,0.826830654210368,dm_tabular,DM,analytic
chain_bandit,chain_bandit_transitional_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.000_seed4128479723,1860358638,2613614962,0,0.2,0.0,100,transitional,0.3,0.7,0.3,0.5,-0.014283966621160507,80.19168250414299,0.8019168250414299,-0.14939490184965687,-0.13511093522849638,0.13511093522849638,0.018254964818318942,,,,,0.8019168250414299,dm_tabular,DM,analytic
chain_bandit,chain_bandit_transitional_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.000_seed4128479723,2941916378,2613614962,0,0.2,0.0,100,transitional,0.3,0.7,0.3,0.5,-0.014283966621160507,84.85957057560252,0.8485957057560252,0.08660473674823518,0.10088870336939569,0.10088870336939569,0.010178530467557914,,,,,0.8485957057560252,dm_tabular,DM,analytic
chain_bandit,chain_bandit_transitional_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.000_seed4128479723,1748603305,2613614962,0,0.2,0.0,100,transitional,0.3,0.7,0.3,0.5,-0.014283966621160507,85.7062087849677,0.857062087849677,0.028750498857778098,0.043034465478938605,0.043034465478938605,0.0018519652190579585,,,,,0.857062087849677,dm_tabular,DM,analytic
chain_bandit,chain_bandit_transitional_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.000_seed4128479723,2566870327,2613614962,0,0.2,0.0,100,transitional,0.3,0.7,0.3,0.5,-0.014283966621160507,81.01634168930565,0.8101634168930565,0.05296620265200186,0.06725016927316237,0.06725016927316237,0.004522585267268992,,,,,0.8101634168930565,dm_tabular,DM,analytic
chain_bandit,chain_bandit_transitional_S8_A3_H6_ts0.300_ms0.700_gap0.300_std0.500_beta0.000_seed4128479723,693132809,2613614962,0,0.2,0.0,100,transitional,0.3,0.7,0.3,0.5,-0.014283966621160507,79.90880673063147,0.7990880673063147,0.13017909401640948,0.14446306063756997,0.14446306063756997,0.02086957588877422,,,,,0.7990880673063147,dm_tabular,DM,analytic
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms1.300_gap0.300_std0.100_beta0.000_seed4128479723,2070496006,2613614962,0,0.2,0.0,100,reward_only,0.3,1.3,0.3,0.1,-0.037189907442418596,82.30105665841324,0.8230105665841324,0.0016122758881946808,0.03880218333061328,0.03880218333061328,0.001505609431222523,,,,,0.8230105665841324,dm_tabular,DM,analytic
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms1.300_gap0.300_std0.100_beta0.000_seed4128479723,2825440625,2613614962,0,0.2,0.0,100,reward_only,0.3,1.3,0.3,0.1,-0.037189907442418596,81.46993163480387,0.8146993163480387,0.05786041802058303,0.09505032546300163,0.09505032546300163,0.009034564370622536,,,,,0.8146993163480387,dm_tabular,DM,analytic
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms1.300_gap0.300_std0.100_beta0.000_seed4128479723,3652782903,2613614962,0,0.2,0.0,100,reward_only,0.3,1.3,0.3,0.1,-0.037189907442418596,84.20833994585689,0.8420833994585689,0.05090866749690853,0.08809857493932713,0.08809857493932713,0.007761358906340238,,,,,0.8420833994585689,dm_tabular,DM,analytic
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms1.300_gap0.300_std0.100_beta0.000_seed4128479723,1860358638,2613614962,0,0.2,0.0,100,reward_only,0.3,1.3,0.3,0.1,-0.037189907442418596,78.94647172719453,0.7894647172719453,-0.3259145107549096,-0.28872460331249106,0.28872460331249106,0.08336189655795533,,,,,0.7894647172719453,dm_tabular,DM,analytic
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms1.300_gap0.300_std0.100_beta0.000_seed4128479723,1748603305,2613614962,0,0.2,0.0,100,reward_only,0.3,1.3,0.3,0.1,-0.037189907442418596,85.38021710837158,0.8538021710837158,0.006822279339070231,0.04401218678148883,0.04401218678148883,0.0019370725852886597,,,,,0.8538021710837158,dm_tabular,DM,analytic
