env_name,env_id,policy_seed,alpha,beta,K,transition_strength,reward_mean_scale,reward_gap,reward_std,chain_variant,n,v_true,mean_estimate,bias,mse,mean_abs_error,median_abs_error,median_ess_is,median_ess_norm,variance,bias_squared,abs_bias,estimator
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms1.300_gap0.300_std0.500_beta0.000_seed3621255937,124701085,0.2,0.0,100,0.3,1.3,0.3,0.5,reward_only,8,0.6464390834381601,0.6451470568064613,-0.0012920266316987922,0.02805130877146867,0.13978984543738482,0.09960926335344006,84.35683074845115,0.8435683074845115,0.02804963943865165,1.6693328170189263e-06,0.0012920266316987922,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms1.300_gap0.300_std0.500_beta0.000_seed3621255937,124701085,0.6,0.0,100,0.3,1.3,0.3,0.5,reward_only,8,0.6464390834381601,0.5979753278876339,-0.04846375555052628,0.08914343081868772,0.235140449083975,0.20316096908705514,20.705190444466563,0.20705190444466565,0.08679469521662656,0.0023487356020611668,0.04846375555052628,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms1.300_gap0.300_std0.500_beta0.000_seed4128479723,2613614962,0.2,0.0,100,0.3,1.3,0.3,0.5,reward_only,8,-0.037189907442418596,-0.046275625231732585,-0.009085717789313996,0.03188085767140009,0.13149008836611156,0.10342123280686974,82.04137964842434,0.8204137964842435,0.03179830740365303,8.255026774705681e-05,0.009085717789313996,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms1.300_gap0.300_std0.500_beta0.000_seed4128479723,2613614962,0.6,0.0,100,0.3,1.3,0.3,0.5,reward_only,8,-0.037189907442418596,-0.08768882801644087,-0.05049892057402226,0.03560674223558988,0.15740973129179758,0.1451054828707825,21.459882365645957,0.21459882365645958,0.033056601256448465,0.002550140979141409,0.05049892057402226,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms1.300_gap0.300_std0.500_beta0.500_seed1979834648,1203747748,0.2,0.5,100,0.3,1.3,0.3,0.5,reward_only,8,-0.6093740037820653,-0.7015985498283326,-0.09222454604626726,0.04838427691101403,0.1523057782402036,0.1285727609661822,85.91903754585624,0.8591903754585624,0.03987891001757395,0.00850536689344007,0.09222454604626726,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms1.300_gap0.300_std0.500_beta0.500_seed1979834648,1203747748,0.6,0.5,100,0.3,1.3,0.3,0.5,reward_only,8,-0.6093740037820653,-0.5771489021393529,0.0322251016427124,0.03106129582964201,0.16448081213873295,0.1694939986499595,32.9408049968021,0.32940804996802103,0.030022838653758866,0.0010384571758831457,0.0322251016427124,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms1.300_gap0.300_std0.500_beta0.500_seed585238748,2152014921,0.2,0.5,100,0.3,1.3,0.3,0.5,reward_only,8,-0.43019143882292393,-0.5361374559331603,-0.10594601711023634,0.04512953022983747,0.14876969879487434,0.09491991360983709,81.95074152079825,0.8195074152079824,0.033904971688314994,0.01122455854152249,0.10594601711023634,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.300_ms1.300_gap0.300_std0.500_beta0.500_seed585238748,2152014921,0.6,0.5,100,0.3,1.3,0.3,0.5,reward_only,8,-0.43019143882292393,-0.548700138253734,-0.11850869943081008,0.0793545945853063,0.2501422900820493,0.22633885774425494,20.604907193123438,0.2060490719312344,0.06531028274452422,0.014044311840782085,0.11850869943081008,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.800_ms0.700_gap0.300_std0.100_beta0.000_seed3621255937,124701085,0.2,0.0,100,0.8,0.7,0.3,0.1,reward_only,8,0.34808258338977854,0.33657206438911474,-0.011510519000663803,0.005908562916924684,0.06494429485024185,0.0784615633479489,84.35683074845115,0.8435683074845115,0.005776070869260041,0.00013249204766464242,0.011510519000663803,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.800_ms0.700_gap0.300_std0.100_beta0.000_seed3621255937,124701085,0.6,0.0,100,0.8,0.7,0.3,0.1,reward_only,8,0.34808258338977854,0.33331911386579843,-0.01476346952398009,0.011312829972465445,0.0832659431991209,0.06794800980405688,20.705190444466563,0.20705190444466565,0.011094869940079955,0.0002179600323854889,0.01476346952398009,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.800_ms0.700_gap0.300_std0.100_beta0.000_seed4128479723,2613614962,0.2,0.0,100,0.8,0.7,0.3,0.1,reward_only,8,-0.020025334776686915,-0.013626258741138347,0.006399076035548568,0.005962671886733814,0.061804518946508326,0.0496320485423109,82.04137964842434,0.8204137964842435,0.0059217237126250825,4.094817410873197e-05,0.006399076035548568,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.800_ms0.700_gap0.300_std0.100_beta0.000_seed4128479723,2613614962,0.6,0.0,100,0.8,0.7,0.3,0.1,reward_only,8,-0.020025334776686915,-0.03195964906862996,-0.011934314291943048,0.006183920245426507,0.059441522154612535,0.04545347683430352,21.459882365645957,0.21459882365645958,0.0060414923878076305,0.00014242785761887607,0.011934314291943048,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.800_ms0.700_gap0.300_std0.100_beta0.500_seed1979834648,1203747748,0.2,0.5,100,0.8,0.7,0.3,0.1,reward_only,8,-0.32812446357495817,-0.3490451857680323,-0.020920722193074136,0.0058090963529749545,0.05660950404182428,0.0381075876370314,85.91903754585624,0.8591903754585624,0.00537141973589517,0.0004376766170797847,0.020920722193074136,dm_tabular
chain_bandit,chain_bandit_reward_only_S8_A3_H6_ts0.800_ms0.700_gap0.300_std0.100_beta0.500_seed1979834648,1203747748,0.6,0.5,100,0.8,0.7,0.3,0.1,reward_only,8,-0.32812446357495817,-0.31995689830410146,0.008167565270856714,0.005660052084016482,0.06667943488490564,0.05154724463218213,32.9408049968021,0.32940804996802103,0.005593342961562777,6.67091224537047e-05,0.008167565270856714,dm_tabular
