alpha,beta,K,chain_variant,transition_strength,reward_mean_scale,reward_gap,reward_std,n,mean_abs_error,std_abs_error,median_abs_error,mean_abs_error_ci_low,mean_abs_error_ci_high,estimator,mean_ess_is,median_ess_is,mean_ess_norm
0.5,0.5,100,transitional,0.5,1.0,0.5,0.5,288,0.45830776650254557,0.2615234930742394,0.4587656439448066,0.4281038990684727,0.48851163393661845,dm_tabular,11.705159514515389,11.035252151579293,0.1170515951451539
0.5,0.5,500,transitional,0.5,1.0,0.5,0.5,288,0.16889806473956495,0.10251048710168735,0.1602198198386522,0.15705892506371688,0.18073720441541302,dm_tabular,38.1909676293389,36.9049230683534,0.0763819352586778
0.5,1.0,100,transitional,0.5,1.0,0.5,0.5,288,0.6483205087843431,0.46035126487781236,0.5109418713874361,0.5951536272394788,0.7014873903292074,dm_tabular,11.641019066203683,11.113916509545968,0.11641019066203682
0.5,1.0,500,transitional,0.5,1.0,0.5,0.5,288,0.20998997713149384,0.16368160883788993,0.17210342369186052,0.1910860631594822,0.22889389110350547,dm_tabular,36.20611666331027,34.45873745102595,0.07241223332662053
0.7,0.0,100,transitional,0.5,1.0,0.5,0.5,288,0.220352969069303,0.15220152017521923,0.19286021635039344,0.2027749133290804,0.23793102480952558,dm_tabular,6.034039585607505,5.313646427444626,0.06034039585607504
0.7,0.0,500,transitional,0.5,1.0,0.5,0.5,288,0.10431165602511111,0.08928404284250402,0.07737036274457523,0.09400006465604221,0.11462324739418,dm_tabular,12.258064653956803,10.322837357825884,0.024516129307913605
0.7,0.25,100,transitional,0.5,1.0,0.5,0.5,288,0.43393736708025993,0.3333739180336254,0.37560575634221677,0.3954353514184901,0.47243938274202973,dm_tabular,5.933309026102588,5.000181422716412,0.05933309026102588
0.7,0.25,500,transitional,0.5,1.0,0.5,0.5,288,0.18530713183332675,0.14067301163538665,0.1445189263413501,0.16906052643263766,0.20155373723401585,dm_tabular,11.996226364098172,9.657492454261721,0.023992452728196344
0.7,0.5,100,transitional,0.5,1.0,0.5,0.5,288,0.48692269644969854,0.2833672067094219,0.49393157901264884,0.4541960551602091,0.519649337739188,dm_tabular,6.134369334168227,5.470747317914798,0.061343693341682264
0.7,0.5,500,transitional,0.5,1.0,0.5,0.5,288,0.20063029615335484,0.12777221810418862,0.1767366009213996,0.18587362901033516,0.21538696329637452,dm_tabular,12.527699103964904,11.08642030312922,0.025055398207929805
0.7,1.0,100,transitional,0.5,1.0,0.5,0.5,288,0.6848166289114889,0.49117924931339346,0.5156112129131514,0.6280893622394359,0.7415438955835418,dm_tabular,5.745236135329935,4.9888997324905135,0.05745236135329934
0.7,1.0,500,transitional,0.5,1.0,0.5,0.5,288,0.25715953110513423,0.2059615926899087,0.1794472463171209,0.23337261785695962,0.28094644435330884,dm_tabular,12.29379572471427,11.011911468383481,0.02458759144942854
0.1,0.0,100,transitional,0.5,1.0,0.5,0.5,288,0.10156134673071537,0.08170832846430696,0.08206882328882091,0.09212468965572349,0.11099800380570726,dr,87.61922515055166,87.70223609457808,0.8761922515055166
0.1,0.0,500,transitional,0.5,1.0,0.5,0.5,288,0.050189293227701215,0.040163091191913455,0.04058911775504878,0.04555077808765307,0.05482780836774936,dr,437.4470477959459,437.77563334204035,0.8748940955918917
0.1,0.25,100,transitional,0.5,1.0,0.5,0.5,288,0.11446276597046107,0.08652616039669275,0.09757001015008565,0.10446968792045522,0.12445584402046692,dr,87.61697652546167,87.66616939006991,0.8761697652546167
0.1,0.25,500,transitional,0.5,1.0,0.5,0.5,288,0.04963186885731472,0.039188776106856574,0.040318853891531004,0.04510587930080841,0.054157858413821036,dr,437.46565466378627,437.80634732854037,0.8749313093275726
0.1,0.5,100,transitional,0.5,1.0,0.5,0.5,288,0.12470134056156759,0.09233394425475513,0.10493120023214136,0.114037510023238,0.13536517109989718,dr,87.66725700123548,87.83808753006483,0.8766725700123549
0.1,0.5,500,transitional,0.5,1.0,0.5,0.5,288,0.052571784855037614,0.039312633747372684,0.04449732909812931,0.04803149073372578,0.05711207897634945,dr,437.62013914628477,438.07881614806473,0.8752402782925695
0.1,1.0,100,transitional,0.5,1.0,0.5,0.5,288,0.1687155116144935,0.11872748655092605,0.15615956051935065,0.15500343847563072,0.18242758475335627,dr,87.87993111475265,88.17958743648214,0.8787993111475264
0.1,1.0,500,transitional,0.5,1.0,0.5,0.5,288,0.0687314458836722,0.0506400278762569,0.0568453215192993,0.0628829285254323,0.07457996324191209,dr,438.33435223572235,438.16115519207835,0.8766687044714446
0.3,0.0,100,transitional,0.5,1.0,0.5,0.5,288,0.15092521581185878,0.11839857682000537,0.12599333634180468,0.13725112911082507,0.16459930251289248,dr,34.569819238536574,34.91240939932968,0.3456981923853657
0.3,0.0,500,transitional,0.5,1.0,0.5,0.5,288,0.06079139369804007,0.04535891475448083,0.05052202797285898,0.0555528025791579,0.06602998481692224,dr,156.08959189524282,158.07596624442436,0.31217918379048565
0.3,0.25,100,transitional,0.5,1.0,0.5,0.5,288,0.15659244473595418,0.11252335628140349,0.14300852391781776,0.14359689891936597,0.1695879905525424,dr,34.78018365235953,35.26574112996515,0.3478018365235953
0.3,0.25,500,transitional,0.5,1.0,0.5,0.5,288,0.06893591392303203,0.054016043547166034,0.061536561909244225,0.06269749381234402,0.07517433403372004,dr,157.53820577752228,160.2707964116181,0.31507641155504457
0.3,0.5,100,transitional,0.5,1.0,0.5,0.5,288,0.16716670804681158,0.13168381547863134,0.13504372907724452,0.15195828275707887,0.1823751333365443,dr,35.004963459217954,35.971698389447575,0.3500496345921795
0.3,0.5,500,transitional,0.5,1.0,0.5,0.5,288,0.07396912314399547,0.056869580720176165,0.05881199966560158,0.06740114235989089,0.08053710392810004,dr,155.41081463497872,157.12280085940475,0.3108216292699575
0.3,1.0,100,transitional,0.5,1.0,0.5,0.5,288,0.22219756411867422,0.17302446440550726,0.18152413335061302,0.20221462520820363,0.24218050302914482,dr,35.52428991166454,36.61406722549118,0.35524289911664536
0.3,1.0,500,transitional,0.5,1.0,0.5,0.5,288,0.09594899798541584,0.07154585281478351,0.07862078062693331,0.0876860253993852,0.10421197057144647,dr,157.54170765801828,159.54573982567035,0.31508341531603656
0.5,0.0,100,transitional,0.5,1.0,0.5,0.5,288,0.248441659768035,0.22991083328635817,0.17280989338001698,0.22188880117545293,0.2749945183606171,dr,11.689882568049596,11.020884600968813,0.11689882568049598
0.5,0.0,500,transitional,0.5,1.0,0.5,0.5,288,0.1320621222421669,0.12841075738163266,0.0971321901106902,0.11723170893026329,0.1468925355540705,dr,35.59784928106961,33.976750016139604,0.0711956985621392
0.5,0.25,100,transitional,0.5,1.0,0.5,0.5,288,0.30160273917705754,0.4185818543488169,0.20577532203038523,0.25325988978160713,0.34994558857250796,dr,11.405859751325247,11.134108030489696,0.11405859751325248
0.5,0.25,500,transitional,0.5,1.0,0.5,0.5,288,0.1433180434942951,0.12957791129859547,0.11483634423773037,0.1283528332592979,0.15828325372929233,dr,35.60151270848535,33.64174142429548,0.07120302541697071
0.5,0.5,100,transitional,0.5,1.0,0.5,0.5,288,0.27764848527302244,0.23140776020619155,0.21637817537911647,0.2509227436185263,0.3043742269275186,dr,11.705159514515389,11.035252151579293,0.1170515951451539
0.5,0.5,500,transitional,0.5,1.0,0.5,0.5,288,0.13709135770614803,0.12150720378382425,0.1094154718349769,0.12305824950531155,0.1511244659069845,dr,38.1909676293389,36.9049230683534,0.0763819352586778
0.5,1.0,100,transitional,0.5,1.0,0.5,0.5,288,0.4037482168539056,0.3446809610809319,0.3237728756783953,0.36394032834202344,0.44355610536578777,dr,11.641019066203683,11.113916509545968,0.11641019066203682
0.5,1.0,500,transitional,0.5,1.0,0.5,0.5,288,0.21123490317639199,0.21200887690387782,0.15437626273787342,0.18674957706829495,0.23572022928448902,dr,36.20611666331027,34.45873745102595,0.07241223332662053
0.7,0.0,100,transitional,0.5,1.0,0.5,0.5,288,0.42931293452797925,0.6414931809069683,0.27035590517102304,0.3552256134685453,0.5034002555874132,dr,6.034039585607505,5.313646427444626,0.06034039585607504
0.7,0.0,500,transitional,0.5,1.0,0.5,0.5,288,0.43511411014057,2.8026875325615817,0.1789900602036482,0.11142616265438182,0.7588020576267582,dr,12.258064653956803,10.322837357825884,0.024516129307913605
0.7,0.25,100,transitional,0.5,1.0,0.5,0.5,288,0.5116405634690774,1.0486046816338033,0.3077662788529564,0.39053512692680536,0.6327460000113494,dr,5.933309026102588,5.000181422716412,0.05933309026102588
0.7,0.25,500,transitional,0.5,1.0,0.5,0.5,288,0.34789622203074283,0.5965336172125192,0.19775622211738908,0.27900137024341143,0.41679107381807423,dr,11.996226364098172,9.657492454261721,0.023992452728196344
0.7,0.5,100,transitional,0.5,1.0,0.5,0.5,288,0.5670269854075998,1.5063948361448936,0.3666710408607499,0.39305045504144853,0.741003515773751,dr,6.134369334168227,5.470747317914798,0.061343693341682264
0.7,0.5,500,transitional,0.5,1.0,0.5,0.5,288,0.30710279621563785,0.3837671545598696,0.22258290239754733,0.2627807656186114,0.3514248268126643,dr,12.527699103964904,11.08642030312922,0.025055398207929805
0.7,1.0,100,transitional,0.5,1.0,0.5,0.5,288,1.0036602031824728,2.6627334419234607,0.5254377153910366,0.6961358314836807,1.311184574881265,dr,5.745236135329935,4.9888997324905135,0.05745236135329934
0.7,1.0,500,transitional,0.5,1.0,0.5,0.5,288,0.5511882655320706,1.0959540095437466,0.32005656926388704,0.42461436110390044,0.6777621699602407,dr,12.29379572471427,11.011911468383481,0.02458759144942854
0.1,0.0,100,transitional,0.5,1.0,0.5,0.5,288,0.08111853749889984,0.061360726357311414,0.06805772497913781,0.07403186538861051,0.08820520960918918,dr_oracle,87.61922515055166,87.70223609457808,0.8761922515055166
0.1,0.0,500,transitional,0.5,1.0,0.5,0.5,288,0.03683558467940006,0.029815575684123057,0.028972799492280668,0.03339212464891561,0.04027904470988451,dr_oracle,437.4470477959459,437.77563334204035,0.8748940955918917
